id,title,short_title,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,cook_pvi,dw_nominate,seniority,next_election,total_votes,missed_votes,total_present,last_updated,office,phone,fax,state,district,at_large,geoid,missed_votes_pct,votes_with_party_pct,votes_against_party_pct,congress,chamber,senate_class,state_rank,lis_id,age,generation
T000486,Representative,Rep.,Ritchie,null,Torres,null,1988-03-12,M,D,null,RepRitchie,null,null,456838,null,null,null,N00044346,/m/0x11h9s,H0NY15160,https://ritchietorres.house.gov,null,null,true,null,null,2,2022,868,6,2,2022-08-25 13:00:32 -0400,317 Cannon House Office Building,202-225-4361,null,NY,15,false,3615,0.69,98.49,1.4,117,house,null,null,null,34,Millennials
T000482,Representative,Rep.,Lori,null,Trahan,null,1973-10-27,F,D,null,RepLoriTrahan,null,null,412781,null,182310,null,N00041808,/g/11gtcg496z,H8MA03106,https://trahan.house.gov,null,null,true,null,null,4,2022,868,2,0,2022-08-25 13:00:33 -0400,2439 Rayburn House Office Building,202-225-3411,null,MA,3,false,2503,0.23,99.07,0.81,117,house,null,null,null,48,Gen X
T000483,Representative,Rep.,David,null,Trone,null,1955-09-21,M,D,null,RepDavidTrone,null,null,412783,null,167336,null,N00039122,/g/11dxnzbmvl,H6MD08549,https://trone.house.gov,null,null,true,null,null,4,2022,868,10,0,2022-08-25 13:00:31 -0400,1110 Longworth House Office Building,202-225-2721,null,MD,6,false,2406,1.15,97.55,2.34,117,house,null,null,null,66,Baby Boomers
T000463,Representative,Rep.,Michael,R.,Turner,null,1960-01-11,M,R,null,RepMikeTurner,RepMikeTurner,CongressmanTurner,400411,1003607,45519,20342,N00025175,/m/03440l,H2OH03067,https://turner.house.gov,https://turner.house.gov/rss.xml,null,true,null,0.275,20,2022,868,26,0,2022-08-25 13:00:30 -0400,2082 Rayburn House Office Building,202-225-6465,null,OH,10,false,3910,3,94.02,5.86,117,house,null,null,null,62,Baby Boomers
U000040,Representative,Rep.,Lauren,null,Underwood,null,1986-10-04,F,D,null,RepUnderwood,null,null,412776,null,177001,null,N00041569,/g/11gfm73_1z,H8IL14174,https://underwood.house.gov,null,null,true,null,null,4,2022,868,2,0,2022-08-25 13:00:32 -0400,1130 Longworth House Office Building,202-225-2976,null,IL,14,false,1714,0.23,98.5,1.39,117,house,null,null,null,35,Millennials
U000031,Representative,Rep.,Fred,null,Upton,null,1953-04-23,M,R,,RepFredUpton,RepFredUpton,RepFredUpton,400414,12127,26906,15446,N00004133,/m/02d4c3,H6MI04113,https://upton.house.gov,https://upton.house.gov/news/rss.aspx,null,true,null,0.323,36,2022,868,0,0,2022-08-25 13:00:28 -0400,2183 Rayburn House Office Building,202-225-3761,null,MI,6,false,2606,0,85.5,14.39,117,house,null,null,null,69,Baby Boomers
V000129,Representative,Rep.,David,null,Valadao,null,1977-04-14,M,R,null,RepDavidValadao,CongressmanDavidValadao,congressmanvaladao,412515,623702,120200,21307,N00033367,/m/0g55rlx,H2CA20094,https://valadao.house.gov,null,null,true,null,0.262,2,2022,860,10,0,2022-08-25 13:00:30 -0400,1728 Longworth House Office Building,202-225-4695,null,CA,21,false,0621,1.16,93.74,6.26,117,house,null,null,null,45,Millennials
V000133,Representative,Rep.,Jefferson,null,Van Drew,null,1953-02-23,M,R,null,CongressmanJVD,null,null,412796,null,24685,null,N00042164,/m/08h3sl,H8NJ02166,https://vandrew.house.gov,null,null,true,null,null,4,2022,868,9,1,2022-08-25 13:00:28 -0400,2447 Rayburn House Office Building,202-225-6572,null,NJ,2,false,3402,1.04,87.47,12.41,117,house,null,null,null,69,Baby Boomers
V000134,Representative,Rep.,Beth,null,Van Duyne,null,1970-11-16,F,R,null,RepBethVanDuyne,null,null,456850,null,79150,null,N00045167,/m/0k1c6d8,H0TX24209,https://vanduyne.house.gov,null,null,true,null,null,2,2022,868,3,0,2022-08-25 13:00:30 -0400,1337 Longworth House Office Building,202-225-6605,null,TX,24,false,4824,0.35,94.99,4.89,117,house,null,null,null,51,Gen X
V000130,Representative,Rep.,Juan,null,Vargas,null,1961-03-07,M,D,null,RepJuanVargas,RepJuanVargas,RepJuanVargas,412522,8297,29100,21314,N00007021,/m/076bp4,H2CA50026,https://vargas.house.gov,null,null,true,null,-0.402,10,2022,868,8,0,2022-08-25 13:00:33 -0400,2244 Rayburn House Office Building,202-225-8045,null,CA,51,false,0651,0.92,99.18,0.7,117,house,null,null,null,61,Baby Boomers
