congress,chamber,title,short_title,state,party,leadership_role,fec_candidate_id,seniority,district,at_large,ocd_id,start_date,end_date,office,phone,fax,contact_form,cook_pvi,dw_nominate,ideal_point,next_election,total_votes,missed_votes,total_present,senate_class,state_rank,lis_id,bills_sponsored,bills_cosponsored,missed_votes_pct,votes_with_party_pct,votes_against_party_pct,memberId
112,House,Representative,Rep.,MI,D,null,,4,9,false,ocd-division/country:us/state:mi/cd:9,2011-01-04,2013-01-03,null,null,null,null,null,-0.236,null,2012,1607.0,51.0,1.0,,,S380,13.0,265.0,3.17,89.82,10.12,P000595
111,House,Representative,Rep.,MI,D,null,,2,9,false,ocd-division/country:us/state:mi/cd:9,2009-01-06,2011-01-03,null,null,null,null,null,null,null,2010,1655.0,8.0,1.0,,,S380,17.0,288.0,0.48,94.44,5.5,P000595
117,Senate,"Senator, 3rd Class",Sen.,OH,R,,S0OH00133,11,null,null,ocd-division/country:us/state:oh,2021-01-03,2023-01-03,448 Russell Senate Office Building,202-224-3353,null,https://www.portman.senate.gov/public/index.cfm/contact?p=contact-form,null,0.372,null,2022,853.0,34.0,0.0,3,junior,S349,80.0,280.0,3.99,75.84,24.16,P000449
116,Senate,"Senator, 3rd Class",Sen.,OH,R,null,S0OH00133,9,null,null,ocd-division/country:us/state:oh,2019-01-03,2021-01-03,448 Russell Senate Office Building,202-224-3353,null,https://www.portman.senate.gov/public/index.cfm/contact?p=contact-form,null,0.373,null,2022,717.0,9.0,0.0,3,junior,S349,87.0,266.0,1.26,98.15,1.85,P000449
115,Senate,"Senator, 3rd Class",Sen.,OH,R,null,S0OH00133,7,null,null,ocd-division/country:us/state:oh,2017-01-03,2019-01-03,448 Russell Senate Office Building,202-224-3353,null,https://www.portman.senate.gov/public/index.cfm/contact?p=contact-form,null,0.374,null,2022,599.0,4.0,0.0,3,junior,S349,54.0,226.0,0.67,98.31,1.69,P000449
114,Senate,"Senator, 3rd Class",Sen.,OH,R,null,H4OH02032,5,null,null,ocd-division/country:us/state:oh,2015-01-06,2017-01-03,null,null,null,null,null,0.374,null,2016,502.0,7.0,0.0,3,,S349,61.0,213.0,1.39,86.21,13.79,P000449
113,Senate,"Senator, 3rd Class",Sen.,OH,R,null,,3,null,null,ocd-division/country:us/state:oh,2013-01-03,2015-01-02,null,null,null,null,null,0.374,0.87517238,2016,657.0,15.0,0.0,3,,S349,34.0,241.0,2.28,90.3,9.7,P000449
112,Senate,"Senator, 3rd Class",Sen.,OH,R,null,,1,null,null,ocd-division/country:us/state:oh,2011-01-05,2013-01-03,null,null,null,null,null,0.374,null,2016,486.0,5.0,0.0,3,,S349,20.0,164.0,1.03,91.74,8.26,P000449
109,House,Representative,Rep.,OH,R,null,,14,2,false,ocd-division/country:us/state:oh/cd:2,2005-01-04,2007-01-03,null,null,null,null,null,null,null,,150.0,14.0,0.0,,,S349,3.0,16.0,9.33,98.51,1.49,P000449
108,House,Representative,Rep.,OH,R,null,,12,2,false,ocd-division/country:us/state:oh/cd:2,2003-01-07,2005-01-03,null,null,null,null,null,null,null,,1221.0,41.0,0.0,,,S349,16.0,95.0,3.36,97.43,2.74,P000449
107,House,Representative,Rep.,OH,R,null,,10,2,false,ocd-division/country:us/state:oh/cd:2,2001-01-03,2003-01-03,null,null,null,null,null,null,null,,996.0,26.0,0.0,,,S349,22.0,128.0,2.61,97.7,2.72,P000449
106,House,Representative,Rep.,OH,R,null,,8,2,false,ocd-division/country:us/state:oh/cd:2,1999-01-06,2001-01-03,null,null,null,null,null,null,null,,1214.0,16.0,0.0,,,S349,17.0,144.0,1.32,92.43,7.83,P000449
105,House,Representative,Rep.,OH,R,null,,6,2,false,ocd-division/country:us/state:oh/cd:2,1997-01-07,1999-01-03,null,null,null,null,null,null,null,,1187.0,29.0,0.0,,,S349,13.0,125.0,2.44,93.32,7.21,P000449
104,House,Representative,Rep.,OH,R,null,,4,2,false,ocd-division/country:us/state:oh/cd:2,1995-01-04,1997-01-03,null,null,null,null,null,null,null,,1340.0,29.0,0.0,,,S349,8.0,99.0,2.16,93.47,7.63,P000449
103,House,Representative,Rep.,OH,R,null,,2,2,false,ocd-division/country:us/state:oh/cd:2,1993-01-05,1995-01-03,null,null,null,null,null,null,null,,971.0,31.0,0.0,,,S349,7.0,164.0,3.19,92.29,7.27,P000449
117,Senate,"Senator, 2nd Class",Sen.,RI,D,null,S6RI00163,25,null,null,ocd-division/country:us/state:ri,2021-01-03,2023-01-03,728 Hart Senate Office Building,202-224-4642,null,https://www.reed.senate.gov/contact/,null,-0.367,null,2026,853.0,3.0,0.0,2,senior,S259,48.0,297.0,0.35,99.41,0.59,R000122
116,Senate,"Senator, 2nd Class",Sen.,RI,D,null,S6RI00163,23,null,null,ocd-division/country:us/state:ri,2019-01-03,2021-01-03,728 Hart Senate Office Building,202-224-4642,202-224-4680,https://www.reed.senate.gov/contact/,null,-0.367,null,2020,717.0,3.0,1.0,2,senior,S259,41.0,488.0,0.42,94.93,5.07,R000122
115,Senate,"Senator, 2nd Class",Sen.,RI,D,null,S6RI00163,21,null,null,ocd-division/country:us/state:ri,2017-01-03,2019-01-03,728 Hart Senate Office Building,202-224-4642,202-224-4680,https://www.reed.senate.gov/contact/,null,-0.38,null,2020,599.0,0.0,1.0,2,senior,S259,33.0,312.0,0.0,94.92,5.08,R000122
114,Senate,"Senator, 2nd Class",Sen.,RI,D,null,H0RI02071,19,null,null,ocd-division/country:us/state:ri,2015-01-06,2017-01-03,null,null,null,null,null,-0.382,null,2020,502.0,0.0,0.0,2,,S259,41.0,185.0,0.0,97.57,2.43,R000122
113,Senate,"Senator, 2nd Class",Sen.,RI,D,null,,17,null,null,ocd-division/country:us/state:ri,2013-01-03,2015-01-02,null,null,null,null,null,-0.382,-1.299459619,2014,657.0,4.0,0.0,2,,S259,57.0,199.0,0.61,97.86,2.14,R000122
112,Senate,"Senator, 2nd Class",Sen.,RI,D,null,,15,null,null,ocd-division/country:us/state:ri,2011-01-04,2013-01-03,null,null,null,null,null,-0.382,null,2014,486.0,2.0,0.0,2,,S259,38.0,170.0,0.41,96.26,3.74,R000122
111,Senate,"Senator, 2nd Class",Sen.,RI,D,null,,13,null,null,ocd-division/country:us/state:ri,2009-01-06,2011-01-03,null,null,null,null,null,null,null,2014,696.0,5.0,0.0,2,,S259,37.0,161.0,0.72,97.53,2.47,R000122
110,Senate,"Senator, 2nd Class",Sen.,RI,D,null,,11,null,null,ocd-division/country:us/state:ri,2007-01-04,2009-01-03,null,null,null,null,null,null,null,2008,657.0,5.0,0.0,2,,S259,36.0,227.0,0.76,95.97,4.03,R000122
109,Senate,"Senator, 2nd Class",Sen.,RI,D,null,,9,null,null,ocd-division/country:us/state:ri,2005-01-04,2007-01-03,null,null,null,null,null,null,null,2008,645.0,1.0,0.0,2,,S259,36.0,230.0,0.16,94.95,5.05,R000122
