name,code,side,title,rank_in_party,begin_date,end_date,memberId,congress
Committee on the Budget,HSBU,minority,Member,10.0,,2023-01-03,H001091,117
Committee on Financial Services,HSBA,minority,Member,18.0,,2023-01-03,H001074,117
Committee on Financial Services,HSBA,minority,Member,19.0,2019-01-23,2021-01-03,H001074,116
Committee on Financial Services,HSBA,majority,Member,34.0,,2019-01-03,H001074,115
Committee on Ways and Means,HSWM,majority,Member,24.0,,2023-01-03,H001066,117
Committee on the Budget,HSBU,majority,Member,10.0,,2023-01-03,H001066,117
Committee on the Budget,HSBU,majority,Member,14.0,2019-01-24,2021-01-03,H001066,116
Committee on Natural Resources,HSII,majority,Member,21.0,2019-01-24,2021-01-03,H001066,116
Committee on Ways and Means,HSWM,majority,Member,25.0,2019-01-15,2021-01-03,H001066,116
Committee on Financial Services,HSBA,null,null,28.0,2014-04-03,2015-01-03,H001066,113
Committee on Oversight and Reform,HSGO,null,null,17.0,2013-01-23,2015-01-03,H001066,113
Committee on Homeland Security,HSHM,null,null,13.0,2013-01-14,2014-04-03,H001066,113
Committee on Natural Resources,HSII,null,null,15.0,2013-01-03,2014-04-03,H001066,113
Committee on Armed Services,HSAS,majority,Member,17.0,,2023-01-03,H001085,117
Committee on Foreign Affairs,HSFA,majority,Member,19.0,,2023-01-03,H001085,117
Committee on Small Business,HSSM,majority,Member,13.0,,2023-01-03,H001085,117
Committee on Small Business,HSSM,majority,Member,13.0,2019-01-24,2021-01-03,H001085,116
Committee on Foreign Affairs,HSFA,majority,Member,21.0,2019-01-17,2021-01-03,H001085,116
Committee on Armed Services,HSAS,majority,Member,21.0,2019-01-15,2021-01-03,H001085,116
Committee on Energy and Commerce,HSIF,minority,Member,15.0,,2023-01-03,H001067,117
Committee on Energy and Commerce,HSIF,minority,Member,20.0,2019-01-23,2021-01-03,H001067,116
Committee on Energy and Commerce,HSIF,majority,Member,24.0,,2019-01-03,H001067,115
Committee on Energy and Commerce,HSIF,null,null,29.0,,2017-01-03,H001067,114
Committee on Education and Labor,HSED,null,null,21.0,2013-01-04,2015-01-03,H001067,113
Committee on Homeland Security,HSHM,null,null,15.0,2013-01-04,2015-01-03,H001067,113
Committee on Agriculture,HSAG,null,null,21.0,2013-01-04,2015-01-03,H001067,113
Committee on Natural Resources,HSII,majority,Member,5.0,,2023-01-03,H001068,117
Select Committee on the Climate Crisis,HSCN,majority,Member,5.0,,2023-01-03,H001068,117
Committee on Transportation and Infrastructure,HSPW,majority,Member,13.0,,2023-01-03,H001068,117
Committee on Natural Resources,HSII,majority,Member,5.0,2019-01-24,2021-01-03,H001068,116
Committee on Transportation and Infrastructure,HSPW,majority,Member,15.0,2017-01-17,2021-01-03,H001068,116
Select Committee on the Climate Crisis,HSCN,majority,Member,5.0,,2021-01-03,H001068,116
Committee on Natural Resources,HSII,minority,Member,7.0,,2019-01-03,H001068,115
Committee on Transportation and Infrastructure,HSPW,minority,Member,20.0,,2019-01-03,H001068,115
Committee on Natural Resources,HSII,null,null,8.0,,2017-01-03,H001068,114
Committee on Transportation and Infrastructure,HSPW,null,null,24.0,,2017-01-03,H001068,114
Committee on the Budget,HSBU,null,null,12.0,2013-01-14,2015-01-03,H001068,113
Committee on Natural Resources,HSII,null,null,16.0,2013-01-03,2015-01-03,H001068,113
Committee on Financial Services,HSBA,minority,Member,5.0,,2023-01-03,H001058,117
Committee on Financial Services,HSBA,minority,Member,5.0,2019-01-23,2021-01-03,H001058,116
Committee on Financial Services,HSBA,majority,Member,9.0,,2019-01-03,H001058,115
Committee on Financial Services,HSBA,null,null,13.0,,2017-01-03,H001058,114
Committee on Financial Services,HSBA,null,null,19.0,2013-01-04,2015-01-03,H001058,113
Committee on Financial Services,HSBA,null,null,25.0,2011-01-12,2013-01-03,H001058,112
Committee on Foreign Affairs,HSFA,minority,Member,6.0,,2023-01-03,I000056,117
Committee on the Judiciary,HSJU,minority,Member,4.0,,2023-01-03,I000056,117
