id,name,committeeId
SSCM39,"Tourism, Trade, and Export Promotion Subcommittee",SSCM
SSCM34,"Communications, Media, and Broadband Subcommittee",SSCM
SSCM33,"Aviation Safety, Operations, and Innovation",SSCM
SSCM35,"Consumer Protection, Product Safety, and Data Security",SSCM
SSCM38,"Surface Transportation, Maritime, Freight, and Ports",SSCM
SSCM37,Space and Science Subcommittee,SSCM
SSCM36,"Oceans, Fisheries, Climate Change, and Manufacturing",SSCM
SSEG03,"Public Lands, Forests, and Mining Subcommittee",SSEG
SSEG04,National Parks Subcommittee,SSEG
SSEG07,Water and Power Subcommittee,SSEG
SSEG01,Energy Subcommittee,SSEG
SSEV15,"Fisheries, Wildlife, and Water Subcommittee",SSEV
SSEV09,"Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",SSEV
SSEV10,"Clean Air, Climate, and Nuclear Safety Subcommittee",SSEV
SSEV16,Green Jobs and the New Economy,SSEV
SSEV08,Transportation and Infrastructure Subcommittee,SSEV
SSEV18,Oversight,SSEV
SSFI13,"International Trade, Customs, and Global Competitiveness",SSFI
SSFI12,"Energy, Natural Resources, and Infrastructure",SSFI
SSFI14,Fiscal Responsibility and Economic Growth Subcommittee,SSFI
SSFI10,Health Care,SSFI
SSFI02,"Social Security, Pensions, and Family Policy Subcommittee",SSFI
SSFI11,Taxation and IRS Oversight Subcommittee,SSFI
SSFR12,"International Development and Foreign Assistance, Economic Affairs, International Environmental Protection, and Peace Corps",SSFR
SSFR13,"International Operations and Organizations, Human Rights, Democracy, and Global Women's Issues",SSFR
SSFR09,Africa and Global Health Policy Subcommittee,SSFR
SSFR01,Europe and Regional Security Cooperation Subcommittee,SSFR
SSFR02,"East Asia, the Pacific, and International Cybersecurity Policy",SSFR
SSFR07,"Near East, South Asia, Central Asia, and Counterterrorism",SSFR
SSFR06,"Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues",SSFR
SSFR14,"State Department and USAID Management, International Operations, and Bilateral International Development",SSFR
SSFR15,"Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",SSFR
SSHR09,Children and Families,SSHR
SSHR11,Employment and Workplace Safety Subcommittee,SSHR
SSHR12,Primary Health and Retirement Security,SSHR
SSGA01,Investigations Subcommittee,SSGA
SSGA15,Financial and Contracting Oversight,SSGA
SSGA17,"Emergency Management, Intergovernmental Relations, and the District of Columbia",SSGA
SSGA16,the Efficiency and Effectiveness of Federal Programs and the Federal Workforce,SSGA
SSGA19,Regulatory Affairs and Federal Management,SSGA
SSGA18,Federal Spending Oversight and Emergency Management,SSGA
SSGA20,Emerging Threats and Spending Oversight Subcommittee,SSGA
SSGA22,Government Operations and Border Management Subcommittee,SSGA
SSJU01,"Competition Policy, Antitrust, and Consumer Rights",SSJU
SSJU04,"Immigration, Citizenship, and Border Safety Subcommittee",SSJU
SSJU22,Criminal Justice and Counterterrorism Subcommittee,SSJU
SSJU21,Constitution Subcommittee,SSJU
